"year","parent_entity","parent_type","commodity","production_value","production_unit","total_emissions_MtCO2e"
1966,"China (Coal)","Nation State","Metallurgical Coal",54.5977976256926,"Million tonnes/yr",161.970758740024
1967,"China (Coal)","Nation State","Lignite Coal",12.499941116693,"Million tonnes/yr",16.7400476040979
1967,"China (Coal)","Nation State","Bituminous Coal",149.514782123791,"Million tonnes/yr",405.803905162974
1967,"China (Coal)","Nation State","Anthracite Coal",26.8686517429916,"Million tonnes/yr",78.3943218296949
1967,"China (Coal)","Nation State","Metallurgical Coal",37.9151372393083,"Million tonnes/yr",112.479693567218
1968,"China (Coal)","Nation State","Lignite Coal",16.4793073699208,"Million tonnes/yr",22.0692551492609
1968,"China (Coal)","Nation State","Bituminous Coal",197.112932637408,"Million tonnes/yr",534.991903049152
1968,"China (Coal)","Nation State","Anthracite Coal",35.4223085170145,"Million tonnes/yr",103.351216890066
1968,"China (Coal)","Nation State","Metallurgical Coal",49.9854515120381,"Million tonnes/yr",148.287693999539
1969,"China (Coal)","Nation State","Lignite Coal",19.8799190915912,"Million tonnes/yr",26.6233887705621
1969,"China (Coal)","Nation State","Bituminous Coal",237.788461903068,"Million tonnes/yr",645.390944442324
1969,"China (Coal)","Nation State","Anthracite Coal",42.7319311077011,"Million tonnes/yr",124.678409311523
1969,"China (Coal)","Nation State","Metallurgical Coal",60.3002729058677,"Million tonnes/yr",178.887819280787
1970,"China (Coal)","Nation State","Lignite Coal",25.6621291082434,"Million tonnes/yr",34.3669829228885
1970,"China (Coal)","Nation State","Bituminous Coal",306.950857454384,"Million tonnes/yr",833.107301356872
1970,"China (Coal)","Nation State","Anthracite Coal",55.1608046474943,"Million tonnes/yr",160.941974807074
1970,"China (Coal)","Nation State","Metallurgical Coal",77.8390184507394,"Million tonnes/yr",230.918561303141
1971,"China (Coal)","Nation State","Lignite Coal",25.83677828727,"Million tonnes/yr",34.6008748703487
1971,"China (Coal)","Nation State","Bituminous Coal",309.039877957414,"Million tonnes/yr",838.777193430775
1971,"China (Coal)","Nation State","Anthracite Coal",55.5362134473564,"Million tonnes/yr",162.037300264994
1971,"China (Coal)","Nation State","Metallurgical Coal",78.3687687456902,"Million tonnes/yr",232.490127574077
1972,"China (Coal)","Nation State","Lignite Coal",26.2581763006046,"Million tonnes/yr",35.165215353047
1972,"China (Coal)","Nation State","Bituminous Coal",314.080320306304,"Million tonnes/yr",852.457654719445
1972,"China (Coal)","Nation State","Anthracite Coal",56.4420094377514,"Million tonnes/yr",164.680129650789
1972,"China (Coal)","Nation State","Metallurgical Coal",79.6469638561861,"Million tonnes/yr",236.282043015139
1973,"China (Coal)","Nation State","Lignite Coal",26.0136774526891,"Million tonnes/yr",34.8377800223487
1973,"China (Coal)","Nation State","Bituminous Coal",311.155811188382,"Million tonnes/yr",844.520130389878
1973,"China (Coal)","Nation State","Anthracite Coal",55.916458607557,"Million tonnes/yr",163.146736709669
1973,"China (Coal)","Nation State","Metallurgical Coal",78.9053437707521,"Million tonnes/yr",234.081940205899
1974,"China (Coal)","Nation State","Lignite Coal",27.4115208712936,"Million tonnes/yr",36.7097860703824
1974,"China (Coal)","Nation State","Bituminous Coal",327.875750228498,"Million tonnes/yr",889.900369455125
1974,"China (Coal)","Nation State","Anthracite Coal",58.9211261941528,"Million tonnes/yr",171.913416929724
1974,"China (Coal)","Nation State","Metallurgical Coal",83.1453177442567,"Million tonnes/yr",246.660319396845
1975,"China (Coal)","Nation State","Lignite Coal",28.4937657776292,"Million tonnes/yr",38.1591393979078
1975,"China (Coal)","Nation State","Bituminous Coal",340.820740070678,"Million tonnes/yr",925.034871580155
1975,"China (Coal)","Nation State","Anthracite Coal",61.2474140654631,"Million tonnes/yr",178.700797323666
1975,"China (Coal)","Nation State","Metallurgical Coal",86.4280103241076,"Million tonnes/yr",256.398811258987
1976,"China (Coal)","Nation State","Lignite Coal",29.3055119539789,"Million tonnes/yr",39.2462380896282
1976,"China (Coal)","Nation State","Bituminous Coal",350.530230048249,"Million tonnes/yr",951.387777253233
1976,"China (Coal)","Nation State","Anthracite Coal",62.9922643062407,"Million tonnes/yr",183.79172457333
1976,"China (Coal)","Nation State","Metallurgical Coal",88.8902193330682,"Million tonnes/yr",263.703242549274
1977,"China (Coal)","Nation State","Lignite Coal",30.3125572050323,"Million tonnes/yr",40.5948832780124
1977,"China (Coal)","Nation State","Bituminous Coal",362.575738986673,"Million tonnes/yr",984.080963154013
1977,"China (Coal)","Nation State","Anthracite Coal",65.156910364943,"Million tonnes/yr",190.107484716284
1977,"China (Coal)","Nation State","Metallurgical Coal",91.9448144076543,"Million tonnes/yr",272.76505645734
1978,"China (Coal)","Nation State","Lignite Coal",34.0602895472972,"Million tonnes/yr",45.6138843461975
1978,"China (Coal)","Nation State","Bituminous Coal",407.403260904944,"Million tonnes/yr",1105.74908984233
1978,"China (Coal)","Nation State","Anthracite Coal",73.2126695338523,"Million tonnes/yr",213.611670296966
1978,"China (Coal)","Nation State","Metallurgical Coal",103.312530911932,"Million tonnes/yr",306.488718352319
1979,"China (Coal)","Nation State","Lignite Coal",34.9138855286092,"Million tonnes/yr",46.7570287201134
1979,"China (Coal)","Nation State","Bituminous Coal",417.613326406526,"Million tonnes/yr",1133.46062708071
1979,"China (Coal)","Nation State","Anthracite Coal",75.04747602068,"Million tonnes/yr",218.965061736159
1979,"China (Coal)","Nation State","Metallurgical Coal",105.901679783026,"Million tonnes/yr",314.169731605217
1980,"China (Coal)","Nation State","Lignite Coal",34.1792054731427,"Million tonnes/yr",45.7731377571499
1980,"China (Coal)","Nation State","Bituminous Coal",408.825642615539,"Million tonnes/yr",1109.60963155328
1980,"China (Coal)","Nation State","Anthracite Coal",73.4682795636905,"Million tonnes/yr",214.357460414524
1980,"China (Coal)","Nation State","Metallurgical Coal",103.673229657797,"Million tonnes/yr",307.558773411038
1981,"China (Coal)","Nation State","Lignite Coal",34.2613272776695,"Million tonnes/yr",45.8831161085901
1981,"China (Coal)","Nation State","Bituminous Coal",409.807921161985,"Million tonnes/yr",1112.27567209083
1981,"China (Coal)","Nation State","Anthracite Coal",73.6448005738798,"Million tonnes/yr",214.87249351015
1981,"China (Coal)","Nation State","Metallurgical Coal",103.922323629699,"Million tonnes/yr",308.297739841574
1982,"China (Coal)","Nation State","Lignite Coal",36.724430274974,"Million tonnes/yr",49.1817285615407
1982,"China (Coal)","Nation State","Bituminous Coal",439.269684613684,"Million tonnes/yr",1192.23899405714
1982,"China (Coal)","Nation State","Anthracite Coal",78.9392460388344,"Million tonnes/yr",230.320029384282
1982,"China (Coal)","Nation State","Metallurgical Coal",111.39346983031,"Million tonnes/yr",330.461769736455
1983,"China (Coal)","Nation State","Lignite Coal",39.3815391404584,"Million tonnes/yr",52.7401556358954
1983,"China (Coal)","Nation State","Bituminous Coal",471.051998698043,"Million tonnes/yr",1278.50061305793
1983,"China (Coal)","Nation State","Anthracite Coal",84.6507075749761,"Million tonnes/yr",246.98428772017
1983,"China (Coal)","Nation State","Metallurgical Coal",119.45307957542,"Million tonnes/yr",354.371545630963
1984,"China (Coal)","Nation State","Lignite Coal",43.4986524542929,"Million tonnes/yr",58.2538354381959
1984,"China (Coal)","Nation State","Bituminous Coal",520.297774602553,"Million tonnes/yr",1412.16049531817
1984,"China (Coal)","Nation State","Anthracite Coal",93.5004519233178,"Million tonnes/yr",272.805073712358
1984,"China (Coal)","Nation State","Metallurgical Coal",131.941211716767,"Million tonnes/yr",391.419051686918
1985,"China (Coal)","Nation State","Lignite Coal",48.0759785620199,"Million tonnes/yr",64.3838368700027
1985,"China (Coal)","Nation State","Bituminous Coal",575.048265805575,"Million tonnes/yr",1560.76094019847
1985,"China (Coal)","Nation State","Anthracite Coal",103.339424813195,"Million tonnes/yr",301.512119178601
1985,"China (Coal)","Nation State","Metallurgical Coal",145.825272931158,"Million tonnes/yr",432.607744767637
1986,"China (Coal)","Nation State","Lignite Coal",49.2752876057253,"Million tonnes/yr",65.9899636746196
1986,"China (Coal)","Nation State","Bituminous Coal",589.39348784066,"Million tonnes/yr",1599.69586716407
1986,"China (Coal)","Nation State","Anthracite Coal",105.917342301284,"Million tonnes/yr",309.033676089781
1986,"China (Coal)","Nation State","Metallurgical Coal",149.463047479163,"Million tonnes/yr",443.399628859832
1987,"China (Coal)","Nation State","Lignite Coal",51.1519637544199,"Million tonnes/yr",68.5032273590916
1987,"China (Coal)","Nation State","Bituminous Coal",611.840859671184,"Million tonnes/yr",1660.62115508597
1987,"China (Coal)","Nation State","Anthracite Coal",109.951261979024,"Million tonnes/yr",320.803391983115
1987,"China (Coal)","Nation State","Metallurgical Coal",155.155429010888,"Million tonnes/yr",460.286745114084
1988,"China (Coal)","Nation State","Lignite Coal",54.0058342712981,"Million tonnes/yr",72.3251596276103
1988,"China (Coal)","Nation State","Bituminous Coal",645.97668664716,"Million tonnes/yr",1753.27053527468
1988,"China (Coal)","Nation State","Anthracite Coal",116.08566308236,"Million tonnes/yr",338.701655689361
1988,"China (Coal)","Nation State","Metallurgical Coal",163.811861095295,"Million tonnes/yr",485.967064351595
1989,"China (Coal)","Nation State","Lignite Coal",58.0997991512877,"Million tonnes/yr",77.8078388131153
1989,"China (Coal)","Nation State","Bituminous Coal",694.945578778124,"Million tonnes/yr",1886.1789164794
1989,"China (Coal)","Nation State","Anthracite Coal",124.885649817485,"Million tonnes/yr",364.37726452933
1989,"China (Coal)","Nation State","Metallurgical Coal",176.229778870466,"Million tonnes/yr",522.806271269882
1990,"China (Coal)","Nation State","Lignite Coal",59.4859490812488,"Million tonnes/yr",79.6641848228559
1990,"China (Coal)","Nation State","Bituminous Coal",711.525649282288,"Million tonnes/yr",1931.17953289267
1990,"China (Coal)","Nation State","Anthracite Coal",127.865182270812,"Million tonnes/yr",373.070608292255
1990,"China (Coal)","Nation State","Metallurgical Coal",180.434283860629,"Million tonnes/yr",535.279427569185
1991,"China (Coal)","Nation State","Lignite Coal",59.7604233021711,"Million tonnes/yr",80.0317634763426
1991,"China (Coal)","Nation State","Bituminous Coal",714.808700997159,"Million tonnes/yr",1940.09019167719
1991,"China (Coal)","Nation State","Anthracite Coal",128.455165274542,"Million tonnes/yr",374.791994162707
1991,"China (Coal)","Nation State","Metallurgical Coal",181.266825955002,"Million tonnes/yr",537.749261162713
1992,"China (Coal)","Nation State","Lignite Coal",61.4287635916215,"Million tonnes/yr",82.2660216704022
1992,"China (Coal)","Nation State","Bituminous Coal",734.764117777136,"Million tonnes/yr",1994.25196714475
1992,"China (Coal)","Nation State","Anthracite Coal",132.041266505905,"Million tonnes/yr",385.255115897821
1992,"China (Coal)","Nation State","Metallurgical Coal",186.327277918983,"Million tonnes/yr",552.761684370563
1993,"China (Coal)","Nation State","Lignite Coal",63.45866028909,"Million tonnes/yr",84.9844798639088
1993,"China (Coal)","Nation State","Bituminous Coal",759.044197211138,"Million tonnes/yr",2060.15147829695
1993,"China (Coal)","Nation State","Anthracite Coal",136.404533984125,"Million tonnes/yr",397.9857656598
1993,"China (Coal)","Nation State","Metallurgical Coal",192.484411852448,"Million tonnes/yr",571.02754303586
1994,"China (Coal)","Nation State","Lignite Coal",67.7653702542501,"Million tonnes/yr",90.7520694197943
1994,"China (Coal)","Nation State","Bituminous Coal",810.55778402512,"Million tonnes/yr",2199.96651465073
1994,"China (Coal)","Nation State","Anthracite Coal",145.661816802784,"Million tonnes/yr",424.995621438805
1994,"China (Coal)","Nation State","Metallurgical Coal",205.54763332147,"Million tonnes/yr",609.78111891143
1995,"China (Coal)","Nation State","Lignite Coal",71.2194464450877,"Million tonnes/yr",95.3778031990988
1995,"China (Coal)","Nation State","Bituminous Coal",851.872814461357,"Million tonnes/yr",2312.10125112829
1995,"China (Coal)","Nation State","Anthracite Coal",153.086361445528,"Million tonnes/yr",446.658120462933
1995,"China (Coal)","Nation State","Metallurgical Coal",216.024624502342,"Million tonnes/yr",640.862339852104
1996,"China (Coal)","Nation State","Lignite Coal",75.2301320952296,"Million tonnes/yr",100.748953997464
1996,"China (Coal)","Nation State","Bituminous Coal",899.845583902557,"Million tonnes/yr",2442.3060168658
1996,"China (Coal)","Nation State","Anthracite Coal",161.707339299782,"Million tonnes/yr",471.811437378782
1996,"China (Coal)","Nation State","Metallurgical Coal",228.18993755555,"Million tonnes/yr",676.952165288778
1997,"China (Coal)","Nation State","Lignite Coal",73.0421095875256,"Million tonnes/yr",97.8187321191477
1997,"China (Coal)","Nation State","Bituminous Coal",873.674123911688,"Million tonnes/yr",2371.27303593072
1997,"China (Coal)","Nation State","Anthracite Coal",157.004179977379,"Million tonnes/yr",458.089089526587
1997,"China (Coal)","Nation State","Metallurgical Coal",221.553172422269,"Million tonnes/yr",657.263424516001
1998,"China (Coal)","Nation State","Lignite Coal",71.8055425942688,"Million tonnes/yr",96.1627090915567
1998,"China (Coal)","Nation State","Bituminous Coal",858.883250716691,"Million tonnes/yr",2331.12854975991
1998,"China (Coal)","Nation State","Anthracite Coal",154.346176400884,"Million tonnes/yr",450.333866458702
1998,"China (Coal)","Nation State","Metallurgical Coal",217.802386177541,"Million tonnes/yr",646.136277994537
1999,"China (Coal)","Nation State","Lignite Coal",70.7870668711439,"Million tonnes/yr",94.7987560993334
1999,"China (Coal)","Nation State","Bituminous Coal",846.701019130418,"Million tonnes/yr",2298.06427958483
1999,"China (Coal)","Nation State","Anthracite Coal",152.15696051576,"Million tonnes/yr",443.946419247183
1999,"China (Coal)","Nation State","Metallurgical Coal",214.713119900851,"Million tonnes/yr",636.971607906271
2000,"China (Coal)","Nation State","Lignite Coal",76.2896573126533,"Million tonnes/yr",102.167880887746
2000,"China (Coal)","Nation State","Bituminous Coal",912.518817821118,"Million tonnes/yr",2476.70293563292
2000,"China (Coal)","Nation State","Anthracite Coal",163.98479114133,"Million tonnes/yr",478.456329512773
2000,"China (Coal)","Nation State","Metallurgical Coal",231.403716208739,"Million tonnes/yr",686.486215919323
2001,"China (Coal)","Nation State","Lignite Coal",81.1035323689167,"Million tonnes/yr",108.614671064574
2001,"China (Coal)","Nation State","Bituminous Coal",970.09872763269,"Million tonnes/yr",2632.98281598028
2001,"China (Coal)","Nation State","Anthracite Coal",174.332226491378,"Million tonnes/yr",508.646909401295
2001,"China (Coal)","Nation State","Metallurgical Coal",246.005283689527,"Million tonnes/yr",729.803475341962
2002,"China (Coal)","Nation State","Lignite Coal",85.4506805882743,"Million tonnes/yr",114.436415939591
2002,"China (Coal)","Nation State","Bituminous Coal",1022.09600597467,"Million tonnes/yr",2774.11065838687
2002,"China (Coal)","Nation State","Anthracite Coal",183.676431468112,"Million tonnes/yr",535.910376850114
2002,"China (Coal)","Nation State","Metallurgical Coal",259.191163502671,"Million tonnes/yr",768.9209315557
2003,"China (Coal)","Nation State","Lignite Coal",101.130877440407,"Million tonnes/yr",135.43549419891
2003,"China (Coal)","Nation State","Bituminous Coal",1209.65058719332,"Million tonnes/yr",3283.15986682378
2003,"China (Coal)","Nation State","Anthracite Coal",217.381050084814,"Million tonnes/yr",634.249911868801
2003,"China (Coal)","Nation State","Metallurgical Coal",306.752732838986,"Million tonnes/yr",910.017895302901
2004,"China (Coal)","Nation State","Lignite Coal",116.988198096854,"Million tonnes/yr",156.671778448911
2004,"China (Coal)","Nation State","Bituminous Coal",1399.32378845583,"Million tonnes/yr",3797.95930460353
2004,"China (Coal)","Nation State","Anthracite Coal",251.466396794975,"Million tonnes/yr",733.700292380363
2004,"China (Coal)","Nation State","Metallurgical Coal",354.851558610155,"Million tonnes/yr",1052.70869316385
2005,"China (Coal)","Nation State","Lignite Coal",130.355583207317,"Million tonnes/yr",174.573515825309
2005,"China (Coal)","Nation State","Bituminous Coal",1559.21427518167,"Million tonnes/yr",4231.92431455174
2005,"China (Coal)","Nation State","Anthracite Coal",280.199621412604,"Million tonnes/yr",817.53485465857
2005,"China (Coal)","Nation State","Metallurgical Coal",395.397848908126,"Million tonnes/yr",1172.99401032406
2006,"China (Coal)","Nation State","Lignite Coal",141.631345097279,"Million tonnes/yr",189.674130224073
2006,"China (Coal)","Nation State","Bituminous Coal",1694.08635719345,"Million tonnes/yr",4597.98589589107
2006,"China (Coal)","Nation State","Anthracite Coal",304.436897074982,"Million tonnes/yr",888.251644124833
2006,"China (Coal)","Nation State","Metallurgical Coal",429.599774764697,"Million tonnes/yr",1274.45802759702
2007,"China (Coal)","Nation State","Lignite Coal",152.112064210456,"Million tonnes/yr",203.710015292799
2007,"China (Coal)","Nation State","Bituminous Coal",1819.44874181246,"Million tonnes/yr",4938.2368364089
2007,"China (Coal)","Nation State","Anthracite Coal",326.965226444469,"Million tonnes/yr",953.982262831357
2007,"China (Coal)","Nation State","Metallurgical Coal",461.390156616018,"Million tonnes/yr",1368.76791724485
2008,"China (Coal)","Nation State","Lignite Coal",160.021888877894,"Million tonnes/yr",214.302932510318
2008,"China (Coal)","Nation State","Bituminous Coal",1914.06004489619,"Million tonnes/yr",5195.02506643252
2008,"China (Coal)","Nation State","Anthracite Coal",343.967412593164,"Million tonnes/yr",1003.58932408246
2008,"China (Coal)","Nation State","Metallurgical Coal",485.382436736827,"Million tonnes/yr",1439.94382513975
2009,"China (Coal)","Nation State","Lignite Coal",171.703486271741,"Million tonnes/yr",229.947045921681
2009,"China (Coal)","Nation State","Bituminous Coal",2053.78642221063,"Million tonnes/yr",5574.26188009772
2009,"China (Coal)","Nation State","Anthracite Coal",369.07703267019,"Million tonnes/yr",1076.85134169945
2009,"China (Coal)","Nation State","Metallurgical Coal",520.815353183072,"Million tonnes/yr",1545.05972011624
2010,"China (Coal)","Nation State","Lignite Coal",188.959686831156,"Million tonnes/yr",253.056724290061
2010,"China (Coal)","Nation State","Bituminous Coal",2260.19195950481,"Million tonnes/yr",6134.47520410131
2010,"China (Coal)","Nation State","Anthracite Coal",406.169274800546,"Million tonnes/yr",1185.07490255269
2010,"China (Coal)","Nation State","Metallurgical Coal",573.157296661187,"Million tonnes/yr",1700.33822342144
2011,"China (Coal)","Nation State","Lignite Coal",207.477739722211,"Million tonnes/yr",277.856288067004
2011,"China (Coal)","Nation State","Bituminous Coal",2481.69081450281,"Million tonnes/yr",6735.65389072036
2011,"China (Coal)","Nation State","Anthracite Coal",445.973871316411,"Million tonnes/yr",1301.21226513471
2011,"China (Coal)","Nation State","Metallurgical Coal",629.326722560618,"Million tonnes/yr",1866.97140143522
2012,"China (Coal)","Nation State","Lignite Coal",217.436671781903,"Million tonnes/yr",291.193390634838
2012,"China (Coal)","Nation State","Bituminous Coal",2600.8119801888,"Million tonnes/yr",7058.96529536072
2012,"China (Coal)","Nation State","Anthracite Coal",467.38061841838,"Million tonnes/yr",1363.67045759226
2012,"China (Coal)","Nation State","Metallurgical Coal",659.534406955585,"Million tonnes/yr",1956.58603378313
2013,"China (Coal)","Nation State","Lignite Coal",219.045700453388,"Million tonnes/yr",293.34821811007
2013,"China (Coal)","Nation State","Bituminous Coal",2620.05795756215,"Million tonnes/yr",7111.20155364799
2013,"China (Coal)","Nation State","Anthracite Coal",470.839229318218,"Million tonnes/yr",1373.76160241631
2013,"China (Coal)","Nation State","Metallurgical Coal",664.414953549584,"Million tonnes/yr",1971.06474664835
2014,"China (Coal)","Nation State","Lignite Coal",213.511965288888,"Million tonnes/yr",285.937383993539
2014,"China (Coal)","Nation State","Bituminous Coal",2553.86762909017,"Million tonnes/yr",6931.55179998209
2014,"China (Coal)","Nation State","Anthracite Coal",458.944453037173,"Million tonnes/yr",1339.05636566726
2014,"China (Coal)","Nation State","Metallurgical Coal",647.629888227455,"Million tonnes/yr",1921.26988524452
2015,"China (Coal)","Nation State","Lignite Coal",206.491551713942,"Million tonnes/yr",276.535575109167
2015,"China (Coal)","Nation State","Bituminous Coal",2469.89278465582,"Million tonnes/yr",6703.63239747983
2015,"China (Coal)","Nation State","Anthracite Coal",443.854058130992,"Million tonnes/yr",1295.0273132932
2015,"China (Coal)","Nation State","Metallurgical Coal",626.335392321479,"Million tonnes/yr",1858.09727006829
2016,"China (Coal)","Nation State","Lignite Coal",185.406886967865,"Million tonnes/yr",248.29877876983
2016,"China (Coal)","Nation State","Bituminous Coal",2279.66941377762,"Million tonnes/yr",6187.33972287508
2016,"China (Coal)","Nation State","Anthracite Coal",398.532523419695,"Million tonnes/yr",1162.79325064062
2016,"China (Coal)","Nation State","Metallurgical Coal",547.021933103104,"Million tonnes/yr",1622.80460760656
2017,"China (Coal)","Nation State","Lignite Coal",194.201956076474,"Million tonnes/yr",260.077224298891
2017,"China (Coal)","Nation State","Bituminous Coal",2396.84063037139,"Million tonnes/yr",6505.35869458504
2017,"China (Coal)","Nation State","Anthracite Coal",417.43754444742,"Million tonnes/yr",1217.9521889015
2017,"China (Coal)","Nation State","Metallurgical Coal",515.111645334257,"Million tonnes/yr",1528.1390030163
2018,"China (Coal)","Nation State","Lignite Coal",203.801597490522,"Million tonnes/yr",272.933161199172
2018,"China (Coal)","Nation State","Bituminous Coal",2572.19839196136,"Million tonnes/yr",6981.30403887167
2018,"China (Coal)","Nation State","Anthracite Coal",438.071995301362,"Million tonnes/yr",1278.15706246553
2018,"China (Coal)","Nation State","Metallurgical Coal",483.701362074479,"Million tonnes/yr",1434.95672034065
2019,"China (Coal)","Nation State","Lignite Coal",213.991677319688,"Million tonnes/yr",286.579819198385
2019,"China (Coal)","Nation State","Bituminous Coal",2669.84788230793,"Million tonnes/yr",7246.3383315144
2019,"China (Coal)","Nation State","Anthracite Coal",459.975595048286,"Million tonnes/yr",1342.06491553587
2019,"China (Coal)","Nation State","Metallurgical Coal",502.549532066526,"Million tonnes/yr",1490.87202328753
2020,"China (Coal)","Nation State","Lignite Coal",213.847637592338,"Million tonnes/yr",286.386919738282
2020,"China (Coal)","Nation State","Bituminous Coal",2725.88740483051,"Million tonnes/yr",7398.43738660519
2020,"China (Coal)","Nation State","Anthracite Coal",459.66598125745,"Million tonnes/yr",1341.16155933498
2020,"China (Coal)","Nation State","Metallurgical Coal",502.211261287301,"Million tonnes/yr",1489.86850341762
2021,"China (Coal)","Nation State","Lignite Coal",226.148383097663,"Million tonnes/yr",302.860202564395
2021,"China (Coal)","Nation State","Bituminous Coal",2882.68337208209,"Million tonnes/yr",7824.00344048081
2021,"China (Coal)","Nation State","Anthracite Coal",486.106461554992,"Million tonnes/yr",1418.30661080999
2021,"China (Coal)","Nation State","Metallurgical Coal",531.098991838739,"Million tonnes/yr",1575.56733815398
2022,"China (Coal)","Nation State","Lignite Coal",249.9339135,"Million tonnes/yr",334.714025514976
2022,"China (Coal)","Nation State","Bituminous Coal",3185.874366,"Million tonnes/yr",8646.90594947998
2022,"China (Coal)","Nation State","Anthracite Coal",537.2335131,"Million tonnes/yr",1567.47935573822
2022,"China (Coal)","Nation State","Metallurgical Coal",586.9582072,"Million tonnes/yr",1741.28024028812
2009,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",82.553812159,"Million tonnes/yr",166.683613214846
2010,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",85.0032109813,"Million tonnes/yr",171.629170969572
2011,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",86.7268620044,"Million tonnes/yr",175.109378278454
2012,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",82.1909382594,"Million tonnes/yr",165.950937991924
2013,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",78.017888414,"Million tonnes/yr",157.525172928316
2014,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",77.9271699391,"Million tonnes/yr",157.342004122586
2015,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",68.1295746499,"Million tonnes/yr",137.559773103681
2016,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",53.3424632412,"Million tonnes/yr",107.703257769593
2017,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",52.4352784922,"Million tonnes/yr",105.871569712287
2018,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",45.0870820253,"Million tonnes/yr",91.0348964481083
2019,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",19.6859090533,"Million tonnes/yr",39.7476308435402
1987,"CNOOC","State-owned Entity","Oil & NGL",8.7,"Million bbl/yr",3.46936770281296
1987,"CNOOC","State-owned Entity","Natural Gas",56.5,"Bcf/yr",4.11830705544417
1988,"CNOOC","State-owned Entity","Oil & NGL",9.4,"Million bbl/yr",3.74851223062549
1988,"CNOOC","State-owned Entity","Natural Gas",74.5,"Bcf/yr",5.43033408195736
1989,"CNOOC","State-owned Entity","Oil & NGL",8.27,"Million bbl/yr",3.29789320715668
1989,"CNOOC","State-owned Entity","Natural Gas",77.5,"Bcf/yr",5.64900525304289
1990,"CNOOC","State-owned Entity","Oil & NGL",27.51714286,"Million bbl/yr",10.9732283577212
1990,"CNOOC","State-owned Entity","Natural Gas",75.6,"Bcf/yr",5.51051351135539
1991,"CNOOC","State-owned Entity","Oil & NGL",43.66428571,"Million bbl/yr",17.4123520239852
1991,"CNOOC","State-owned Entity","Natural Gas",73,"Bcf/yr",5.32099849641459
1992,"CNOOC","State-owned Entity","Oil & NGL",60.11142857,"Million bbl/yr",23.9711090632995
1992,"CNOOC","State-owned Entity","Natural Gas",71.2,"Bcf/yr",5.18979579376328
1993,"CNOOC","State-owned Entity","Oil & NGL",82.95857143,"Million bbl/yr",33.0820446426142
1993,"CNOOC","State-owned Entity","Natural Gas",82.49,"Bcf/yr",6.01272830094849
1994,"CNOOC","State-owned Entity","Oil & NGL",120.40571429,"Million bbl/yr",48.0151375163047
1994,"CNOOC","State-owned Entity","Natural Gas",87.965,"Bcf/yr",6.41180318817959
1995,"CNOOC","State-owned Entity","Oil & NGL",141.25285714,"Million bbl/yr",56.3285172978815
1995,"CNOOC","State-owned Entity","Natural Gas",81.03,"Bcf/yr",5.9063083310202
1996,"CNOOC","State-owned Entity","Oil & NGL",160.5,"Million bbl/yr",64.003852448446
1996,"CNOOC","State-owned Entity","Natural Gas",180.86,"Bcf/yr",13.1829560008431
1997,"CNOOC","State-owned Entity","Oil & NGL",187,"Million bbl/yr",74.5714667156348
1997,"CNOOC","State-owned Entity","Natural Gas",284.62,"Bcf/yr",20.746062904788
1998,"CNOOC","State-owned Entity","Oil & NGL",191.4,"Million bbl/yr",76.3260894618851
1998,"CNOOC","State-owned Entity","Natural Gas",290,"Bcf/yr",21.1382132049347
1999,"CNOOC","State-owned Entity","Oil & NGL",200.1,"Million bbl/yr",79.795457164698
1999,"CNOOC","State-owned Entity","Natural Gas",256.47,"Bcf/yr",18.6941984161021
2000,"CNOOC","State-owned Entity","Oil & NGL",150.69,"Million bbl/yr",60.0918412801017
2000,"CNOOC","State-owned Entity","Natural Gas",172.28,"Bcf/yr",12.5575564515384
2001,"CNOOC","State-owned Entity","Oil & NGL",167.085,"Million bbl/yr",66.6298048993682
2001,"CNOOC","State-owned Entity","Natural Gas",178.85,"Bcf/yr",13.0364463162158
2002,"CNOOC","State-owned Entity","Oil & NGL",218,"Million bbl/yr",86.9335815187615
2002,"CNOOC","State-owned Entity","Natural Gas",201.335,"Bcf/yr",14.6753867435018
2003,"CNOOC","State-owned Entity","Oil & NGL",190.6,"Million bbl/yr",76.007067144385
2003,"CNOOC","State-owned Entity","Natural Gas",216.795,"Bcf/yr",15.8022721784959
2004,"CNOOC","State-owned Entity","Oil & NGL",189.673,"Million bbl/yr",75.6374000339818
2004,"CNOOC","State-owned Entity","Natural Gas",241.305,"Bcf/yr",17.5888156462647
2005,"CNOOC","State-owned Entity","Oil & NGL",306.5371,"Million bbl/yr",122.240220052178
2005,"CNOOC","State-owned Entity","Natural Gas",344.25710901,"Bcf/yr",25.0930350605787
2006,"CNOOC","State-owned Entity","Oil & NGL",198.7498,"Million bbl/yr",79.2570272483373
